ID,region,subaccount,alertTime,severity,alertCategory,title,description,affectedService,isAutoTriaged,triageAgent,status,resolutionNotes
al001,cf-us10,SwiftIS-Prod,2026-03-08T05:12:00Z,Critical,Health,OAuth Certificate Expiring in 12 Days,SwiftIS-Prod-OAuth-ServiceKey expires March 20. All Integration Suite OAuth flows will fail.,SAP Integration Suite,true,Joule,Open,Joule identified via scheduled scan. Both prod certs expire within 2 days - convergence risk flagged.
al002,cf-us10,SwiftIS-Prod,2026-03-08T05:14:00Z,Critical,Health,Cloud Connector X509 Expiring in 14 Days,SwiftIS-Prod-CloudConnector-X509 expires March 22. On-premise S4H connectivity will be blocked.,Cloud Connector,true,Joule,Open,Joule correlated cert convergence risk with al001. Single maintenance window recommended.
al003,cf-us10,BDC-Dev,2026-03-08T06:30:00Z,Critical,Capacity,BDC_DS_US_Prod Datasphere at 95%,US Production Datasphere space at 95%. DBX-US-Sandbox ingestion jobs contributing to daily spike.,BDC_DS_US_Prod,true,Joule,In-Progress,Joule traced spike to Databricks POC job schedule. Recommended off-peak scheduling.
al004,cf-us10,BDC-Dev,2026-03-08T06:32:00Z,Critical,Capacity,BDC_DS_Global_Prod at 93.7% Trending Critical,Global Prod Datasphere approaching limit. Correlated overflow risk with US Prod capacity pressure.,BDC_DS_Global_Prod,true,Joule,In-Progress,Joule flagged cross-space capacity risk. Escalated to BDC team lead.
al005,cf-us10,SwiftIS-Prod,2026-03-08T07:00:00Z,Critical,Capacity,Event Mesh Queue at 97%,Prod EventMesh queue near partition limit. Finance integration message backlog forming.,EventMesh-Prod-Queue,true,Joule,Open,Joule detected throughput anomaly. Recommended partition increase and S4H flow throttling.
al006,cf-us10,SwiftIS-Prod,2026-03-08T04:45:00Z,High,Health,S4H Procurement Destination Degraded,S4H-Prod-Procurement-API at 1840ms response - 7 failures in 24h. Procurement approvals delayed.,S/4HANA Integration,true,Joule,In-Progress,Joule correlated with S4H maintenance window. Non-critical flows auto-paused.
al007,cf-us10,SwiftIS-Dev,2026-03-08T02:00:00Z,High,Health,S4H-Dev-Sandbox Destination Unreachable,DEV S4H sandbox unreachable - 24+ failures. SwiftIS-Dev integration testing blocked.,DEV Integration Testing,false,,Open,Requires manual check - dev sandbox may be offline for patching.
al008,cf-us10,BDC-Dev,2026-03-07T18:00:00Z,Medium,Cost,US Datasphere Cost Forecast 17.5% Over Budget,BDC_DS_US_Prod forecast $2350 vs $2000 budget. Databricks POC ingestion frequency driving overage.,BDC_DS_US_Prod,true,Joule,Open,Joule traced overage to DBX POC job frequency. Recommended off-peak scheduling.
al009,cf-us10,SwiftIS-Prod,2026-03-07T22:00:00Z,Medium,Cost,Open Connectors Idle 45 Days,Open Connectors - no active jobs for 45 days. $18/month accruing with zero utilization.,SAP Integration Suite,true,Joule,Open,Joule flagged idle service. Decommission or reassign recommended.
al010,cf-us10,BDC-Dev,2026-03-06T10:00:00Z,Low,Cost,Build Process Automation Idle 22 Days,BPA paused Feb 15. CF runtime and license costs accruing with no active project activity.,SAP Build Process Automation,true,Joule,Open,Joule detected idle pattern. Flagged for project owner review.
