date,company_code,cashflow_amount,currency
2025-01-01,1710,125000.00,USD
2025-01-02,1710,118500.00,USD
2025-01-03,1710,142300.00,USD
2025-01-04,1710,135200.00,USD
2025-01-05,1710,128900.00,USD
2025-01-06,1710,155400.00,USD
2025-01-07,1710,148700.00,USD
2025-01-08,1710,162100.00,USD
2025-01-09,1710,138900.00,USD
2025-01-10,1710,145600.00,USD
2025-01-11,1710,152800.00,USD
2025-01-12,1710,141200.00,USD
2025-01-13,1710,167300.00,USD
2025-01-14,1710,158900.00,USD
2025-01-15,1710,149700.00,USD
2025-01-16,1710,163500.00,USD
2025-01-17,1710,171200.00,USD
2025-01-18,1710,155800.00,USD
2025-01-19,1710,148400.00,USD
2025-01-20,1710,172900.00,USD
